FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA-1\assignement 1 rocket.pde  12:06:21 1/22/24
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 0.003000
 +00:00:00| STEP FAILED. RETRY at Dt= 3.000e-4
 +00:00:00| STEP FAILED. RETRY at Dt= 3.000e-5
 +00:00:00| STEP FAILED. RETRY at Dt= 1.500e-5
 +00:00:00| Step 2 Time= 3.000e-5 Dt= 1.500e-5 Nodes=9 Cells=2 RMS ERR= 4.00e-17 MAX ERR= 4.17e-17 TIME ERR= 0.002594 MEM=424
 +00:00:00| Step 3 Time= 4.500e-5 Dt= 1.500e-5 Nodes=9 Cells=2 RMS ERR= 6.36e-16 MAX ERR= 6.64e-16 TIME ERR= 3.056e-4 MEM=424
 +00:00:00| Step 4 Time= 6.183e-5 Dt= 1.683e-5 Nodes=9 Cells=2 RMS ERR= 7.12e-16 MAX ERR= 7.12e-16 TIME ERR= 2.661e-4 MEM=424
 +00:00:00| Step 5 Time= 8.071e-5 Dt= 1.888e-5 Nodes=9 Cells=2 RMS ERR= 2.23e-15 MAX ERR= 2.33e-15 TIME ERR= 1.033e-4 MEM=424
 +00:00:00| Step 6 Time= 1.019e-4 Dt= 2.119e-5 Nodes=9 Cells=2 RMS ERR= 1.62e-15 MAX ERR= 1.69e-15 TIME ERR= 4.010e-5 MEM=424
 +00:00:00| Step 7 Time= 1.257e-4 Dt= 2.377e-5 Nodes=9 Cells=2 RMS ERR= 8.81e-16 MAX ERR= 9.20e-16 TIME ERR= 1.559e-5 MEM=424
 +00:00:00| Step 8 Time= 1.523e-4 Dt= 2.667e-5 Nodes=9 Cells=2 RMS ERR= 1.91e-15 MAX ERR= 1.99e-15 TIME ERR= 6.082e-6 MEM=424
 +00:00:00| Step 9 Time= 1.823e-4 Dt= 2.993e-5 Nodes=9 Cells=2 RMS ERR= 2.15e-15 MAX ERR= 2.15e-15 TIME ERR= 2.407e-6 MEM=424
 +00:00:00| Step 10 Time= 2.159e-4 Dt= 3.358e-5 Nodes=9 Cells=2 RMS ERR= 1.16e-15 MAX ERR= 1.16e-15 TIME ERR= 1.001e-6 MEM=424
 +00:00:00| Step 11 Time= 2.535e-4 Dt= 3.768e-5 Nodes=9 Cells=2 RMS ERR= 2.38e-15 MAX ERR= 2.48e-15 TIME ERR= 4.825e-7 MEM=424
 +00:00:00| Step 12 Time= 2.958e-4 Dt= 4.228e-5 Nodes=9 Cells=2 RMS ERR= 2.55e-15 MAX ERR= 2.66e-15 TIME ERR= 3.201e-7 MEM=424
 +00:00:00| Step 13 Time= 3.432e-4 Dt= 4.743e-5 Nodes=9 Cells=2 RMS ERR= 1.36e-15 MAX ERR= 1.42e-15 TIME ERR= 3.120e-7 MEM=424
 +00:00:00| Step 14 Time= 3.965e-4 Dt= 5.322e-5 Nodes=9 Cells=2 RMS ERR= 2.89e-15 MAX ERR= 3.01e-15 TIME ERR= 3.862e-7 MEM=424
 +00:00:00| Step 15 Time= 4.562e-4 Dt= 5.972e-5 Nodes=9 Cells=2 RMS ERR= 4.79e-15 MAX ERR= 4.79e-15 TIME ERR= 5.245e-7 MEM=424
 +00:00:00| Step 16 Time= 5.232e-4 Dt= 6.700e-5 Nodes=9 Cells=2 RMS ERR= 1.61e-15 MAX ERR= 1.69e-15 TIME ERR= 7.327e-7 MEM=424
 +00:00:00| Step 17 Time= 5.984e-4 Dt= 7.518e-5 Nodes=9 Cells=2 RMS ERR= 1.70e-15 MAX ERR= 1.77e-15 TIME ERR= 1.032e-6 MEM=424
 +00:00:00| Step 18 Time= 6.827e-4 Dt= 8.435e-5 Nodes=9 Cells=2 RMS ERR= 1.47e-16 MAX ERR= 1.54e-16 TIME ERR= 1.456e-6 MEM=424
 +00:00:00| Step 19 Time= 7.774e-4 Dt= 9.464e-5 Nodes=9 Cells=2 RMS ERR= 3.73e-15 MAX ERR= 3.89e-15 TIME ERR= 2.057e-6 MEM=424
 +00:00:00| Step 20 Time= 8.836e-4 Dt= 1.062e-4 Nodes=9 Cells=2 RMS ERR= 1.98e-15 MAX ERR= 2.06e-15 TIME ERR= 2.906e-6 MEM=425
 +00:00:00| Step 21 Time= 0.001003 Dt= 1.191e-4 Nodes=9 Cells=2 RMS ERR= 2.13e-15 MAX ERR= 2.15e-15 TIME ERR= 4.105e-6 MEM=425
 +00:00:00| Step 22 Time= 0.001136 Dt= 1.337e-4 Nodes=9 Cells=2 RMS ERR= 2.18e-15 MAX ERR= 2.18e-15 TIME ERR= 5.799e-6 MEM=425
 +00:00:00| Step 23 Time= 0.001286 Dt= 1.500e-4 Nodes=9 Cells=2 RMS ERR= 2.22e-15 MAX ERR= 2.32e-15 TIME ERR= 8.192e-6 MEM=425
 +00:00:00| Step 24 Time= 0.001455 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 4.49e-15 MAX ERR= 4.69e-15 TIME ERR= 1.157e-5 MEM=425
 +00:00:00| Step 25 Time= 0.001623 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 5.98e-16 MAX ERR= 6.24e-16 TIME ERR= 1.200e-5 MEM=425
 +00:00:00| Step 26 Time= 0.001791 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.30e-15 MAX ERR= 2.38e-15 TIME ERR= 1.256e-5 MEM=425
 +00:00:00| Step 27 Time= 0.001960 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.82e-15 MAX ERR= 1.91e-15 TIME ERR= 1.275e-5 MEM=425
 +00:00:00| Step 28 Time= 0.002128 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 3.70e-15 MAX ERR= 3.78e-15 TIME ERR= 1.281e-5 MEM=425
 +00:00:00| Step 29 Time= 0.002296 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.68e-15 MAX ERR= 1.68e-15 TIME ERR= 1.283e-5 MEM=425
 +00:00:00| Step 30 Time= 0.002465 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.52e-15 MAX ERR= 1.59e-15 TIME ERR= 1.284e-5 MEM=425
 +00:00:00| Step 31 Time= 0.002633 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 5.81e-15 MAX ERR= 6.06e-15 TIME ERR= 1.285e-5 MEM=425
 +00:00:00| Step 32 Time= 0.002801 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.51e-15 MAX ERR= 1.56e-15 TIME ERR= 1.285e-5 MEM=425
 +00:00:00| Step 33 Time= 0.002969 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.68e-15 MAX ERR= 2.80e-15 TIME ERR= 1.285e-5 MEM=425
 +00:00:00| Step 34 Time= 0.003138 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.72e-15 MAX ERR= 1.79e-15 TIME ERR= 1.286e-5 MEM=425
 +00:00:00| Step 35 Time= 0.003306 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.39e-15 MAX ERR= 2.50e-15 TIME ERR= 1.286e-5 MEM=425
 +00:00:00| Step 36 Time= 0.003474 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.20e-15 MAX ERR= 1.20e-15 TIME ERR= 1.286e-5 MEM=425
 +00:00:00| Step 37 Time= 0.003643 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 3.23e-15 MAX ERR= 3.37e-15 TIME ERR= 1.286e-5 MEM=425
 +00:00:00| Step 38 Time= 0.003811 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.25e-15 MAX ERR= 1.25e-15 TIME ERR= 1.287e-5 MEM=425
 +00:00:00| Step 39 Time= 0.003979 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 0.000000 MAX ERR= 0.000000 TIME ERR= 1.287e-5 MEM=425
 +00:00:00| Step 40 Time= 0.004148 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.45e-15 MAX ERR= 2.50e-15 TIME ERR= 1.287e-5 MEM=425
 +00:00:00| Step 41 Time= 0.004316 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.58e-15 MAX ERR= 1.58e-15 TIME ERR= 1.287e-5 MEM=425
 +00:00:00| Step 42 Time= 0.004484 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.88e-15 MAX ERR= 2.88e-15 TIME ERR= 1.288e-5 MEM=425
 +00:00:00| Step 43 Time= 0.004652 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 9.30e-16 MAX ERR= 9.30e-16 TIME ERR= 1.288e-5 MEM=425
 +00:00:00| Step 44 Time= 0.004821 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.53e-15 MAX ERR= 2.64e-15 TIME ERR= 1.288e-5 MEM=425
 +00:00:00| Step 45 Time= 0.004989 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 8.74e-16 MAX ERR= 8.74e-16 TIME ERR= 1.288e-5 MEM=425
 +00:00:00| Step 46 Time= 0.005157 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.43e-15 MAX ERR= 1.50e-15 TIME ERR= 1.288e-5 MEM=425
 +00:00:00| Step 47 Time= 0.005326 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.96e-15 MAX ERR= 2.05e-15 TIME ERR= 1.289e-5 MEM=425
 +00:00:00| Step 48 Time= 0.005494 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.25e-15 MAX ERR= 1.25e-15 TIME ERR= 1.289e-5 MEM=425
 +00:00:00| Step 49 Time= 0.005662 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.40e-15 MAX ERR= 1.46e-15 TIME ERR= 1.289e-5 MEM=425
 +00:00:00| Step 50 Time= 0.005831 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 3.64e-15 MAX ERR= 3.81e-15 TIME ERR= 1.289e-5 MEM=425
 +00:00:00| Step 51 Time= 0.005999 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.20e-15 MAX ERR= 1.25e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 52 Time= 0.006167 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.39e-15 MAX ERR= 2.50e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 53 Time= 0.006335 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.41e-15 MAX ERR= 1.41e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 54 Time= 0.006504 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.32e-15 MAX ERR= 1.38e-15 TIME ERR= 1.290e-5 MEM=425
 +00:00:00| Step 55 Time= 0.006672 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.29e-15 MAX ERR= 1.34e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 56 Time= 0.006840 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 1.20e-15 MAX ERR= 1.25e-15 TIME ERR= 1.291e-5 MEM=425
 +00:00:00| Step 57 Time= 0.007009 Dt= 1.683e-4 Nodes=9 Cells=2 RMS ERR= 2.39e-15 MAX ERR= 2.50e-15 TIME ERR= 1.291e-5 MEM=425
