FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/DA-1/assignement 1 rocket.pde  11:12:08 1/22/24
 +00:00:01| Mesh Generation Complete
 +00:00:01| Mesh dump written to /Users/garretlanglois/Documents/GitHub/2CM4_Projects/DA-1/assignement 1 rocket_output/assignement 1 rocket_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:01| STEP FAILED at Dt= 4.267e-4. RETRY at Dt= 4.267e-5
 +00:00:01| STEP FAILED at Dt= 4.267e-5. RETRY at Dt= 4.267e-6
 +00:00:01| STEP FAILED at Dt= 4.267e-6. RETRY at Dt= 4.267e-7
 +00:00:01| STEP FAILED at Dt= 4.267e-7. RETRY at Dt= 4.267e-8
 +00:00:01| STEP FAILED at Dt= 4.267e-8. RETRY at Dt= 2.133e-8
 +00:00:01| STEP FAILED at Dt= 2.133e-8. RETRY at Dt= 1.067e-8
 +00:00:01| Step 2 Time= 2.133e-8 Dt= 8.862e-9 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.86e-19 MAX ERR= 3.12e-19 TIME ERR= 0.002898 Orthomin/ILU=(19,19) MEM(KiB)=5583 
 +00:00:01| Step 3 Time= 3.019e-8 Dt= 8.862e-9 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.29e-15 MAX ERR= 1.40e-15 TIME ERR= 9.075e-4 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 4 Time= 3.906e-8 Dt= 8.862e-9 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.73e-15 MAX ERR= 1.86e-15 TIME ERR= 0.001092 Orthomin/ILU=(19) MEM(KiB)=5583 
 +00:00:01| Step 5 Time= 4.792e-8 Dt= 8.862e-9 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.87e-15 MAX ERR= 2.02e-15 TIME ERR= 5.34e-11 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 6 Time= 5.900e-8 Dt= 1.108e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.62e-15 MAX ERR= 2.62e-15 TIME ERR= 2.98e-11 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 7 Time= 7.284e-8 Dt= 1.385e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.14e-15 MAX ERR= 3.25e-15 TIME ERR= 1.33e-11 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 8 Time= 9.015e-8 Dt= 1.731e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.39e-15 MAX ERR= 3.54e-15 TIME ERR= 5.94e-12 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 9 Time= 1.118e-7 Dt= 2.163e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.50e-15 MAX ERR= 3.67e-15 TIME ERR= 2.65e-12 Orthomin/ILU=(12) MEM(KiB)=5583 
 +00:00:01| Step 10 Time= 1.388e-7 Dt= 2.704e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.56e-15 MAX ERR= 3.73e-15 TIME ERR= 1.18e-12 Orthomin/ILU=(12) MEM(KiB)=5584 
 +00:00:01| Step 11 Time= 1.726e-7 Dt= 3.380e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.81e-14 MAX ERR= 7.08e-14 TIME ERR= 5.38e-13 Orthomin/ILU=(14) MEM(KiB)=5584 
 +00:00:01| Step 12 Time= 2.149e-7 Dt= 4.226e-8 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.83e-14 MAX ERR= 1.02e-13 TIME ERR= 3.73e-13 Orthomin/ILU=(13) MEM(KiB)=5584 
