FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2 Grady.pde  21:31:50 2/7/24
Using 1 Thread(s)
 +00:00:00| Step 2 Time= 0.012000 Dt= 0.006000 Nodes=815 Cells=382 RMS ERR= 0.004443 MAX ERR= 0.006053 TIME ERR= 6.759e-4 MEM=3512
 +00:00:00| Step 3 Time= 0.018000 Dt= 0.006000 Nodes=815 Cells=382 RMS ERR= 0.001317 MAX ERR= 0.001812 TIME ERR= 6.889e-4 MEM=3512
 +00:00:00| Step 4 Time= 0.024732 Dt= 0.006732 Nodes=766 Cells=361 RMS ERR= 0.001252 MAX ERR= 0.001694 TIME ERR= 9.366e-5 MEM=3516
 +00:00:00| Step 5 Time= 0.032286 Dt= 0.007554 Nodes=754 Cells=355 RMS ERR= 0.001251 MAX ERR= 0.001633 TIME ERR= 2.630e-4 MEM=3517
 +00:00:00| Step 6 Time= 0.040761 Dt= 0.008475 Nodes=754 Cells=355 RMS ERR= 0.001144 MAX ERR= 0.001486 TIME ERR= 3.871e-4 MEM=3517
 +00:00:00| Step 7 Time= 0.050270 Dt= 0.009509 Nodes=754 Cells=355 RMS ERR= 0.001058 MAX ERR= 0.001391 TIME ERR= 4.057e-4 MEM=3517
 +00:00:00| Step 8 Time= 0.060940 Dt= 0.010670 Nodes=754 Cells=355 RMS ERR= 9.799e-4 MAX ERR= 0.001295 TIME ERR= 3.751e-4 MEM=3517
 +00:00:00| Step 9 Time= 0.072911 Dt= 0.011972 Nodes=751 Cells=354 RMS ERR= 0.001432 MAX ERR= 0.001896 TIME ERR= 3.225e-4 MEM=3517
 +00:00:00| Step 10 Time= 0.086344 Dt= 0.013432 Nodes=751 Cells=354 RMS ERR= 0.001317 MAX ERR= 0.001742 TIME ERR= 2.721e-4 MEM=3517
 +00:00:00| Step 11 Time= 0.101415 Dt= 0.015071 Nodes=751 Cells=354 RMS ERR= 0.001206 MAX ERR= 0.001591 TIME ERR= 2.242e-4 MEM=3517
 +00:00:00| Step 12 Time= 0.118325 Dt= 0.016910 Nodes=751 Cells=354 RMS ERR= 0.001105 MAX ERR= 0.001441 TIME ERR= 1.948e-4 MEM=3517
 +00:00:00| Step 13 Time= 0.137299 Dt= 0.018974 Nodes=751 Cells=354 RMS ERR= 0.001025 MAX ERR= 0.001307 TIME ERR= 1.962e-4 MEM=3517
 +00:00:00| Step 14 Time= 0.158588 Dt= 0.021289 Nodes=748 Cells=353 RMS ERR= 0.001734 MAX ERR= 0.002170 TIME ERR= 2.033e-4 MEM=3517
