FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2_quarter_pizza.pde  10:58:02 2/8/24
Using 1 Thread(s)
 +00:00:00| Step 2 Time= 0.012000 Dt= 0.006000 Nodes=813 Cells=382 RMS ERR= 0.004173 MAX ERR= 0.005486 TIME ERR= 1.508e-4 MEM=3115
 +00:00:00| Step 3 Time= 0.018000 Dt= 0.006000 Nodes=813 Cells=382 RMS ERR= 0.001330 MAX ERR= 0.001750 TIME ERR= 6.109e-5 MEM=3115
 +00:00:00| Step 4 Time= 0.024732 Dt= 0.006732 Nodes=813 Cells=382 RMS ERR= 0.001268 MAX ERR= 0.001664 TIME ERR= 3.540e-5 MEM=3115
 +00:00:00| Step 5 Time= 0.032286 Dt= 0.007554 Nodes=813 Cells=382 RMS ERR= 0.001207 MAX ERR= 0.001574 TIME ERR= 8.037e-6 MEM=3115
 +00:00:00| Step 6 Time= 0.040761 Dt= 0.008475 Nodes=813 Cells=382 RMS ERR= 0.001149 MAX ERR= 0.001480 TIME ERR= 2.023e-5 MEM=3115
 +00:00:00| Step 7 Time= 0.050270 Dt= 0.009509 Nodes=813 Cells=382 RMS ERR= 0.001099 MAX ERR= 0.001384 TIME ERR= 3.056e-5 MEM=3115
 +00:00:00| Step 8 Time= 0.060940 Dt= 0.010670 Nodes=813 Cells=382 RMS ERR= 0.001058 MAX ERR= 0.001315 TIME ERR= 3.984e-5 MEM=3115
 +00:00:00| Step 9 Time= 0.072911 Dt= 0.011972 Nodes=813 Cells=382 RMS ERR= 0.001023 MAX ERR= 0.001280 TIME ERR= 4.912e-5 MEM=3115
 +00:00:00| Step 10 Time= 0.086344 Dt= 0.013432 Nodes=813 Cells=382 RMS ERR= 9.920e-4 MAX ERR= 0.001240 TIME ERR= 5.884e-5 MEM=3115
 +00:00:00| Step 11 Time= 0.101415 Dt= 0.015071 Nodes=813 Cells=382 RMS ERR= 9.618e-4 MAX ERR= 0.001197 TIME ERR= 6.901e-5 MEM=3115
 +00:00:00| Step 12 Time= 0.118325 Dt= 0.016910 Nodes=813 Cells=382 RMS ERR= 9.314e-4 MAX ERR= 0.001166 TIME ERR= 7.936e-5 MEM=3115
