FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization_output/V3 Rocket Optimization_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:00| STEP FAILED at Dt= 0.020000. RETRY at Dt= 0.002000
 +00:00:00| STEP FAILED at Dt= 0.002000. RETRY at Dt= 2.000e-4
 +00:00:00| STEP FAILED at Dt= 2.000e-4. RETRY at Dt= 1.000e-4
 +00:00:00| STEP FAILED at Dt= 1.000e-4. RETRY at Dt= 5.000e-5
 +00:00:00| STEP FAILED at Dt= 5.000e-5. RETRY at Dt= 2.500e-5
 +00:00:00| Step 2 Time= 5.000e-5 Dt= 1.427e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-17 MAX ERR= 1.12e-17 TIME ERR= 0.006139 Lanczos/BInv=(13,22) MEM(KiB)=8024 
 +00:00:00| Step 3 Time= 6.427e-5 Dt= 1.427e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.06e-17 MAX ERR= 1.10e-17 TIME ERR= 7.049e-4 Lanczos/BInv=(14) MEM(KiB)=8024 
 +00:00:00| Step 4 Time= 8.211e-5 Dt= 1.784e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-17 MAX ERR= 1.15e-17 TIME ERR= 0.001930 Lanczos/BInv=(13) MEM(KiB)=8024 
 +00:00:00| Step 5 Time= 9.994e-5 Dt= 1.784e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.11e-17 MAX ERR= 1.20e-17 TIME ERR= 1.001e-8 Lanczos/BInv=(14) MEM(KiB)=8024 
 +00:00:00| Step 6 Time= 1.222e-4 Dt= 2.230e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.10e-17 MAX ERR= 1.19e-17 TIME ERR= 5.585e-9 Lanczos/BInv=(13) MEM(KiB)=8024 
 +00:00:00| Step 7 Time= 1.501e-4 Dt= 2.787e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.09e-17 MAX ERR= 1.17e-17 TIME ERR= 2.496e-9 Lanczos/BInv=(13) MEM(KiB)=8024 
 +00:00:00| Step 8 Time= 1.849e-4 Dt= 3.484e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.01e-17 MAX ERR= 1.09e-17 TIME ERR= 1.119e-9 Lanczos/BInv=(13) MEM(KiB)=8024 
 +00:00:00| Step 9 Time= 2.285e-4 Dt= 4.355e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.07e-17 MAX ERR= 1.15e-17 TIME ERR= 5.10e-10 Lanczos/BInv=(13) MEM(KiB)=8024 
 +00:00:00| Step 10 Time= 2.829e-4 Dt= 5.443e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.07e-17 MAX ERR= 1.14e-17 TIME ERR= 2.47e-10 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 11 Time= 3.510e-4 Dt= 6.804e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.32e-17 MAX ERR= 1.38e-17 TIME ERR= 1.48e-10 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 12 Time= 4.360e-4 Dt= 8.505e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.75e-17 MAX ERR= 1.78e-17 TIME ERR= 2.10e-10 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 13 Time= 5.423e-4 Dt= 1.063e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.70e-17 MAX ERR= 1.80e-17 TIME ERR= 4.32e-10 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 14 Time= 6.752e-4 Dt= 1.329e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.06e-17 MAX ERR= 2.22e-17 TIME ERR= 8.58e-10 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 15 Time= 8.414e-4 Dt= 1.661e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.50e-17 MAX ERR= 2.69e-17 TIME ERR= 1.682e-9 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 16 Time= 0.001049 Dt= 2.077e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.87e-17 MAX ERR= 1.89e-17 TIME ERR= 3.283e-9 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 17 Time= 0.001309 Dt= 2.596e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.38e-17 MAX ERR= 2.49e-17 TIME ERR= 6.401e-9 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 18 Time= 0.001633 Dt= 3.245e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.75e-17 MAX ERR= 3.87e-17 TIME ERR= 1.247e-8 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 19 Time= 0.002039 Dt= 4.056e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.46e-17 MAX ERR= 4.55e-17 TIME ERR= 2.429e-8 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 20 Time= 0.002546 Dt= 5.070e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.16e-17 MAX ERR= 6.54e-17 TIME ERR= 4.728e-8 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 21 Time= 0.003179 Dt= 6.337e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.94e-17 MAX ERR= 1.07e-16 TIME ERR= 9.193e-8 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 22 Time= 0.003971 Dt= 7.921e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.14e-16 MAX ERR= 1.24e-16 TIME ERR= 1.786e-7 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 23 Time= 0.004962 Dt= 9.902e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.17e-16 MAX ERR= 1.28e-16 TIME ERR= 3.463e-7 Lanczos/BInv=(13) MEM(KiB)=8025 
