FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile.pde  10:04:12 1/11/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile_output/tempflexfile_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:00| STEP FAILED at Dt= 0.020000. RETRY at Dt= 0.002000
 +00:00:00| STEP FAILED at Dt= 0.002000. RETRY at Dt= 2.000e-4
 +00:00:00| STEP FAILED at Dt= 2.000e-4. RETRY at Dt= 1.000e-4
 +00:00:00| STEP FAILED at Dt= 1.000e-4. RETRY at Dt= 5.000e-5
 +00:00:00| STEP FAILED at Dt= 5.000e-5. RETRY at Dt= 2.500e-5
 +00:00:00| Step 2 Time= 5.000e-5 Dt= 1.295e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.82e-17 MAX ERR= 1.92e-17 TIME ERR= 0.007455 Lanczos/BInv=(13,19) MEM(KiB)=5498 
 +00:00:00| Step 3 Time= 6.295e-5 Dt= 1.295e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.88e-17 MAX ERR= 1.99e-17 TIME ERR= 6.659e-4 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 4 Time= 7.913e-5 Dt= 1.619e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.90e-17 MAX ERR= 2.01e-17 TIME ERR= 0.002009 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 5 Time= 9.532e-5 Dt= 1.619e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.81e-17 MAX ERR= 1.92e-17 TIME ERR= 1.061e-8 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 6 Time= 1.156e-4 Dt= 2.023e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.80e-17 MAX ERR= 1.91e-17 TIME ERR= 5.922e-9 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 7 Time= 1.408e-4 Dt= 2.529e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.90e-17 MAX ERR= 2.01e-17 TIME ERR= 2.646e-9 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 8 Time= 1.725e-4 Dt= 3.161e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.14e-17 MAX ERR= 2.27e-17 TIME ERR= 1.185e-9 Lanczos/BInv=(13) MEM(KiB)=5499 
 +00:00:00| Step 9 Time= 2.120e-4 Dt= 3.952e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.07e-17 MAX ERR= 2.12e-17 TIME ERR= 5.36e-10 Lanczos/BInv=(13) MEM(KiB)=5500 
 +00:00:00| Step 10 Time= 2.614e-4 Dt= 4.940e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.20e-17 MAX ERR= 2.26e-17 TIME ERR= 2.54e-10 Lanczos/BInv=(13) MEM(KiB)=5500 
