{
FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
File: assignment_1_rocket.pde  20:13:43 1/24/24
Title: Rocket DA1
Output: h, v, p
 Time 120.391
<Time> 	<h(0,0)> 	<v(0,0)> 	<p(0,0)> 
}
   0.0000000000	  0.	  1.	  101325.
   6.2500000e-7	  1.7872566896e-7	  1.0000258306	  101325.
   7.9890863e-7	  3.5264155152e-7	  1.0000473934	  101325.
   1.0162944e-6	  5.7004108099e-7	  1.0000743469	  101324.99999
   1.2336802e-6	  7.8744612837e-7	  1.0001013004	  101324.99999
   1.5054124e-6	  1.0592105401e-6	  1.0001349923	  101324.99999
   1.8450777e-6	  1.3989288679e-6	  1.0001771071	  101324.99998
   2.2696593e-6	  1.8235968667e-6	  1.0002297507	  101324.99998
   2.8003863e-6	  2.3544632848e-6	  1.0002955551	  101324.99997
   3.4637951e-6	  3.0180954141e-6	  1.0003778107	  101324.99996
   4.2930561e-6	  3.847712311e-6	  1.0004806301	  101324.99995
   5.3296323e-6	  4.8848533338e-6	  1.0006091544	  101324.99994
   6.6253525e-6	  6.1814669599e-6	  1.0007698098	  101324.99993
   8.2450028e-6	  7.8025267235e-6	  1.0009706291	  101324.99991
   1.0269566e-5	  9.8293088206e-6	  1.0012216532	  101324.99988
   1.2800269e-5	  1.2363501118e-5	  1.0015354334	  101324.99985
   1.5963649e-5	  1.5532358172e-5	  1.0019276588	  101324.99981
   1.9917873e-5	  1.9495174304e-5	  1.0024179405	  101324.99977
   2.4860654e-5	  2.4451420745e-5	  1.0030307928	  101324.99971
   3.1039129e-5	  3.0650988601e-5	  1.0037968585	  101324.99963
   3.8762224e-5	  3.840710437e-5	  1.0047544409	  101324.99954
   4.8416092e-5	  4.8112649006e-5	  1.0059514196	  101324.99942
   6.0483427e-5	  6.0260829694e-5	  1.0074476439	  101324.99928
   7.5567596e-5	  7.5471446028e-5	  1.0093179257	  101324.99909
   9.4422807e-5	  9.45243891e-5	  1.0116557803	  101324.99886
   1.1799182e-4	  1.1840255653e-4	  1.0145781021	  101324.99858
   1.4745309e-4	  1.4834712313e-4	  1.0182310099	  101324.99822
   1.8427967e-4	  1.8592917119e-4	  1.0227971534	  101324.99777
   2.3031290e-4	  2.3314320025e-4	  1.0285048465	  101324.9972
   2.4218886e-4	  2.4536642732e-4	  1.0299773578	  101324.99705
   2.4588489e-4	  2.4917409843e-4	  1.0304356318	  101324.99701
   2.4958092e-4	  2.5298346334e-4	  1.0308939059	  101324.99696
