FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket.pde  20:13:43 1/24/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket_output/assignment_1_rocket_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:00| STEP FAILED at Dt= 0.050000. RETRY at Dt= 0.005000
 +00:00:00| STEP FAILED at Dt= 0.005000. RETRY at Dt= 5.000e-4
 +00:00:00| STEP FAILED at Dt= 5.000e-4. RETRY at Dt= 5.000e-5
 +00:00:00| STEP FAILED at Dt= 5.000e-5. RETRY at Dt= 5.000e-6
 +00:00:00| STEP FAILED at Dt= 5.000e-6. RETRY at Dt= 2.500e-6
 +00:00:00| STEP FAILED at Dt= 2.500e-6. RETRY at Dt= 1.250e-6
 +00:00:00| STEP FAILED at Dt= 1.250e-6. RETRY at Dt= 6.250e-7
 +00:00:00| STEP FAILED at Dt= 6.250e-7. RETRY at Dt= 3.125e-7
 +00:00:00| Step 2 Time= 6.250e-7 Dt= 1.739e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.44e-18 MAX ERR= 1.52e-18 TIME ERR= 0.006458 Orthomin/ILU=(19,19) MEM(KiB)=6139 
 +00:00:00| Step 3 Time= 7.989e-7 Dt= 1.739e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.31e-14 MAX ERR= 1.42e-14 TIME ERR= 7.150e-4 Orthomin/ILU=(13) MEM(KiB)=6140 
 +00:00:00| Step 4 Time= 1.016e-6 Dt= 2.174e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.36e-10 MAX ERR= 1.48e-10 TIME ERR= 0.002008 Orthomin/ILU=(20) MEM(KiB)=6140 
 +00:00:00| Step 5 Time= 1.234e-6 Dt= 2.174e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.81e-10 MAX ERR= 1.98e-10 TIME ERR= 2.669e-9 Orthomin/ILU=(13) MEM(KiB)=6140 
 +00:00:00| Step 6 Time= 1.505e-6 Dt= 2.717e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.02e-10 MAX ERR= 2.20e-10 TIME ERR= 1.469e-9 Orthomin/ILU=(13) MEM(KiB)=6140 
 +00:00:00| Step 7 Time= 1.845e-6 Dt= 3.397e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.11e-10 MAX ERR= 2.30e-10 TIME ERR= 6.56e-10 Orthomin/ILU=(14) MEM(KiB)=6140 
 +00:00:00| Step 8 Time= 2.270e-6 Dt= 4.246e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.15e-10 MAX ERR= 2.34e-10 TIME ERR= 2.93e-10 Orthomin/ILU=(14) MEM(KiB)=6140 
 +00:00:00| Step 9 Time= 2.800e-6 Dt= 5.307e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.17e-10 MAX ERR= 2.36e-10 TIME ERR= 1.31e-10 Orthomin/ILU=(16) MEM(KiB)=6140 
 +00:00:00| Step 10 Time= 3.464e-6 Dt= 6.634e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.17e-10 MAX ERR= 2.37e-10 TIME ERR= 5.84e-11 Orthomin/ILU=(15) MEM(KiB)=6141 
 +00:00:00| Step 11 Time= 4.293e-6 Dt= 8.293e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.37e-10 TIME ERR= 2.61e-11 Orthomin/ILU=(14) MEM(KiB)=6141 
 +00:00:00| Step 12 Time= 5.330e-6 Dt= 1.037e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.38e-10 TIME ERR= 1.17e-11 Orthomin/ILU=(15) MEM(KiB)=6141 
 +00:00:00| Step 13 Time= 6.625e-6 Dt= 1.296e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.38e-10 TIME ERR= 5.26e-12 Orthomin/ILU=(16) MEM(KiB)=6142 
 +00:00:00| Step 14 Time= 8.245e-6 Dt= 1.620e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.38e-10 TIME ERR= 2.44e-12 Orthomin/ILU=(16) MEM(KiB)=6142 
 +00:00:00| Step 15 Time= 1.027e-5 Dt= 2.025e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.38e-10 TIME ERR= 1.28e-12 Lanczos/BInv=(14) MEM(KiB)=6142 
